id,Time,Head_x,Head_y,Head_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristLeft_x,WristLeft_y,WristLeft_z,WristRight_x,WristRight_y,WristRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,Spine_x,Spine_y,Spine_z,HipCenter_x,HipCenter_y,HipCenter_z,HipLeft_x,HipLeft_y,HipLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootLeft_x,FootLeft_y,FootLeft_z,FootRight_x,FootRight_y,FootRight_z
0,2214530736,0.0984883,0.175299,2.39221,0.0791972,-0.0287281,2.41002,-0.083172,-0.159786,2.39025,0.237513,-0.17887,2.43292,-0.134847,-0.39748,2.34535,0.296322,-0.389417,2.39864,-0.1535,-0.52603,2.15771,0.136593,-0.532512,2.34859,-0.160026,-0.569927,2.09769,0.12057,-0.596622,2.32966,0.0808582,-0.351478,2.4228,0.0883857,-0.409194,2.37419,0.010798,-0.478837,2.35148,0.168355,-0.484986,2.37712,-0.0183071,-0.549663,1.99948,0.261473,-0.53456,2.04894,-0.0352045,-0.84704,1.93933,0.279245,-0.83328,1.98425,-0.023355,-0.882178,1.85628,0.291036,-0.868401,1.90117
1,2214530740,0.0982382,0.175171,2.39223,0.0784211,-0.0289491,2.41051,-0.0835167,-0.159888,2.39033,0.237343,-0.178965,2.43291,-0.134848,-0.397514,2.34538,0.296276,-0.389384,2.39864,-0.153809,-0.526145,2.15796,0.136581,-0.532478,2.34866,-0.160722,-0.570035,2.09829,0.120567,-0.596556,2.32975,0.0804828,-0.351482,2.42276,0.0880182,-0.409089,2.37407,0.0103611,-0.478738,2.35143,0.168074,-0.484863,2.37689,-0.0182616,-0.54969,1.99941,0.261386,-0.534567,2.04907,-0.0353305,-0.846567,1.93913,0.27921,-0.832776,1.98411,-0.0235074,-0.881649,1.85611,0.290986,-0.86784,1.90106
2,2214530744,0.0978421,0.175005,2.39221,0.0775005,-0.029133,2.41096,-0.0838699,-0.159989,2.3904,0.237177,-0.179052,2.43291,-0.134858,-0.397546,2.34543,0.296233,-0.389344,2.39864,-0.154054,-0.526236,2.15817,0.13658,-0.532448,2.34873,-0.161241,-0.570109,2.09878,0.120576,-0.596493,2.32985,0.0799803,-0.351463,2.42271,0.0875498,-0.408957,2.37395,0.00989266,-0.478629,2.35138,0.167702,-0.484717,2.37663,-0.0182307,-0.5497,1.99933,0.261292,-0.53458,2.04922,-0.0354482,-0.846036,1.93892,0.279173,-0.832297,1.98398,-0.023652,-0.881062,1.85592,0.290934,-0.867311,1.90094
3,2214530747,0.0974523,0.174843,2.39219,0.0766776,-0.0292752,2.41132,-0.0842513,-0.160101,2.39049,0.236966,-0.179136,2.43291,-0.134924,-0.397586,2.34549,0.2962,-0.389289,2.39865,-0.150389,-0.526705,2.15893,0.136615,-0.532426,2.34888,-0.157781,-0.570359,2.09974,0.120627,-0.596431,2.33002,0.0794121,-0.351433,2.42266,0.0870076,-0.408814,2.37382,0.00938527,-0.478511,2.35135,0.167204,-0.484545,2.37633,-0.0182063,-0.549714,1.99924,0.261199,-0.534591,2.04938,-0.0355594,-0.845512,1.9387,0.279133,-0.831825,1.98384,-0.0237887,-0.880488,1.85572,0.290878,-0.866792,1.90083
4,2214530750,0.0970182,0.174679,2.39217,0.0759501,-0.0293874,2.41163,-0.0847027,-0.160217,2.39058,0.236756,-0.179215,2.43292,-0.135022,-0.397626,2.34555,0.29617,-0.389228,2.39866,-0.155714,-0.529645,2.1627,0.136669,-0.532408,2.34911,-0.166566,-0.574998,2.10637,0.120698,-0.596369,2.33027,0.0788302,-0.351392,2.4226,0.0864458,-0.408661,2.37369,0.00880697,-0.478377,2.35129,0.166729,-0.484386,2.37605,-0.0181855,-0.549731,1.99915,0.261107,-0.534596,2.04954,-0.0356794,-0.845001,1.93851,0.279087,-0.831336,1.98369,-0.0239335,-0.879932,1.85555,0.290816,-0.86626,1.90071
5,2214530753,0.0965946,0.174528,2.39215,0.0749356,-0.029474,2.41191,-0.0851754,-0.160342,2.39066,0.236459,-0.179278,2.43292,-0.135216,-0.39765,2.34565,0.296144,-0.389178,2.39868,-0.156365,-0.530293,2.16356,0.13672,-0.532391,2.34932,-0.16767,-0.575873,2.10776,0.120765,-0.596309,2.33051,0.0781823,-0.351337,2.42251,0.0858499,-0.408499,2.37353,0.00821651,-0.478228,2.35118,0.166263,-0.48423,2.37578,-0.0181694,-0.549751,1.99906,0.261019,-0.534585,2.0497,-0.0358039,-0.844511,1.93833,0.279029,-0.830811,1.98355,-0.0240822,-0.879396,1.8554,0.290739,-0.86569,1.90059
6,2214530757,0.0961295,0.174385,2.39212,0.0738375,-0.0295479,2.4121,-0.0856066,-0.160457,2.39073,0.236167,-0.179327,2.43292,-0.135418,-0.397673,2.34574,0.296097,-0.389156,2.39862,-0.158569,-0.531226,2.16492,0.136709,-0.532395,2.34959,-0.170432,-0.577034,2.10972,0.120769,-0.596267,2.3308,0.0775606,-0.351292,2.42242,0.0852972,-0.408359,2.37338,0.00768537,-0.478099,2.35108,0.165843,-0.484091,2.37552,-0.0181562,-0.549769,1.99897,0.260937,-0.534574,2.04984,-0.035934,-0.844054,1.93817,0.278967,-0.830331,1.98341,-0.024235,-0.8789,1.85525,0.29066,-0.865173,1.90048
7,2214530760,0.0956326,0.174275,2.39207,0.0727953,-0.029609,2.41223,-0.0860523,-0.160582,2.3908,0.235913,-0.179345,2.43294,-0.135651,-0.397694,2.34583,0.296055,-0.389164,2.39854,-0.160962,-0.532106,2.16625,0.136687,-0.532397,2.3498,-0.173264,-0.578091,2.11154,0.120758,-0.596228,2.33104,0.0769554,-0.351238,2.42232,0.0847674,-0.408221,2.37323,0.00717863,-0.477989,2.35102,0.165441,-0.483948,2.37527,-0.0181443,-0.549792,1.99886,0.260847,-0.534587,2.04998,-0.0360604,-0.843631,1.93799,0.278917,-0.829962,1.98329,-0.0243817,-0.878444,1.8551,0.290595,-0.864774,1.90039
8,2214530763,0.0950882,0.174211,2.392,0.0718947,-0.0296537,2.41233,-0.0864833,-0.160702,2.39087,0.235639,-0.17934,2.43295,-0.135881,-0.397713,2.34592,0.296005,-0.389155,2.39847,-0.163247,-0.532834,2.1674,0.136682,-0.532408,2.35,-0.175863,-0.578928,2.11305,0.120766,-0.596201,2.33126,0.0764295,-0.351205,2.42226,0.0843197,-0.408126,2.37313,0.00680312,-0.47796,2.35106,0.165089,-0.483824,2.37504,-0.0181323,-0.549821,1.99877,0.260755,-0.534599,2.05012,-0.0361748,-0.84322,1.93778,0.278866,-0.829633,1.98318,-0.0245155,-0.878008,1.85492,0.290529,-0.864421,1.9003
9,2214530765,0.0943667,0.174095,2.39188,0.0709707,-0.0296794,2.4124,-0.0869002,-0.160831,2.39092,0.235289,-0.179331,2.43295,-0.136104,-0.397738,2.346,0.295976,-0.389159,2.39843,-0.16466,-0.533238,2.16809,0.13671,-0.532495,2.35045,-0.177323,-0.579359,2.11391,0.120811,-0.596232,2.33172,0.075931,-0.351187,2.4222,0.0839063,-0.408056,2.37304,0.00647927,-0.477947,2.35111,0.164766,-0.483716,2.37483,-0.0181186,-0.549854,1.99866,0.260662,-0.534615,2.05026,-0.0362926,-0.842842,1.93757,0.278819,-0.829351,1.98308,-0.024652,-0.877609,1.85473,0.290468,-0.864118,1.90022
